ward,population
E05001643,6195
E05001644,6210
E05001645,7568
E05001646,6920
E05001647,7629
E05001648,6553
E05001649,6666
E05001650,7141
E05001651,6316
E05001652,6539
E05001653,6703
E05001654,6857
E05001655,5997
E05001656,7361
E05001657,6187
E05001658,6841
E05001659,6527
E05001660,6764
E05001661,6591
E05001662,6733
E05001663,6734
E05008610,4777
E05008611,13386
E05008612,5312
E05008613,8680
E05008614,7437
E05008615,8968
E05008616,6084
E05008617,4643
E05008618,14220
E05008619,14264
E05008620,6920
E05008621,15644
E05008622,4799
E05008623,5488
E05008624,12445
E05008625,10686
E05008626,10373
E05008627,4803
E05008628,4385
E05008629,9784
E05008630,8857
E05008631,4925
E05008632,13256
E05008633,6027
E05008634,9173
E05008635,4485
E05008636,4520
E05008637,8636
E05008638,9056
E05008639,8216
E05008640,14425
E05008641,4732
E05008642,8616
E05008643,9675
E05008644,8267
E05008645,7501
E05008646,8522
E05008647,4397
E05008648,5932
E05008649,5786
E05008650,4909
E05008651,5298
E05008652,5601
E05008653,4226
E05008654,5381
E05008655,5141
E05008656,4440
E05008657,4980
E05008658,10087
E05008659,9365
E05008660,5553
E05008661,5686
E05012209,14085
E05012210,12512
E05012211,18338
E05012212,11561
E05012213,10873
E05012214,4849
E05012215,9316
E05012216,9273
E05012217,11000
E05012218,9427
E05012219,8825
E05012220,5273
E05012221,5906
E05012222,9418
E05012223,4777
E05012224,4946
E05012225,13087
E05012226,5642
E05012227,5448
E05012228,14784
E05012229,4785
E05012230,9226
E05012231,5116
E05012232,4972
E05012233,5673
E05012234,4987
E05012235,5261
E05012236,5354
E05012237,5244
E05012238,11076
E05012239,5164
E05012240,9321
E05012241,4961
E05012242,10174
E05012243,15064
E05012244,5521
E05012245,4322
E05012246,5383
E05012247,5173
E05012248,5381
E05012249,4129
E05012250,15409
E05012251,4649
E05012252,5640
E05012253,5824
E05014171,5349
E05014175,4908
E05014181,6499
E05014182,6059
E05014186,6054
E05014193,6704
E05014198,5203
E05014200,6119
E05014201,6588
E05014206,6906
E05014207,6457
E05014208,5368
E05014209,6561
E05014210,5307
E05014212,5225
E05014215,6847
E05014222,5936
E05014223,5977
E05014228,10868
E05014240,12158
E05014241,11165
E05014244,10783
E05014248,10519
E05014172,6656
E05014173,6896
E05014174,6589
E05014176,5544
E05014178,5574
